antecedents;consequents;confidence;interestingness;support;isSymmetric;cluster;source;target
frozenset({'age determination', 'Adansonia digitata'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'Adansonia digitata'});frozenset({'Adansonia za'})
frozenset({'Adansonia digitata', 'radiocarbon dating'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'radiocarbon dating'});frozenset({'Adansonia za'})
frozenset({'Adansonia digitata', 'Adansonia za'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'Adansonia za'});frozenset({'radiocarbon dating'})
frozenset({'age determination', 'radiocarbon dating'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'radiocarbon dating'});frozenset({'Adansonia za'})
frozenset({'plant anatomy', 'Adansonia grandidieri'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'plant anatomy', 'Adansonia grandidieri'});frozenset({'Adansonia za'})
frozenset({'Adansonia rubrostipa', 'radiocarbon dating'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia rubrostipa', 'radiocarbon dating'});frozenset({'Adansonia za'})
frozenset({'Adansonia rubrostipa'});frozenset({'Adansonia za'});0.8571428571428571;0.8571428454954745;0.0002855375243896635;True;no_clustering;frozenset({'Adansonia rubrostipa'});frozenset({'Adansonia za'})
frozenset({'Rwanda', 'vegetation'});frozenset({'high forest systems'});1.0;0.8571428454954745;0.0002855375243896635;False;no_clustering;frozenset({'Rwanda', 'vegetation'});frozenset({'high forest systems'})
frozenset({'age determination', 'Adansonia'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'Adansonia'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia za'});frozenset({'Adansonia rubrostipa'});1.0;0.8571428454954745;0.0002855375243896635;True;no_clustering;frozenset({'Adansonia za'});frozenset({'Adansonia rubrostipa'})
frozenset({'wood', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'})
frozenset({'age determination', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'})
frozenset({'wood', 'Adansonia'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'Adansonia'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia digitata', 'age determination'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'age determination'});frozenset({'Adansonia rubrostipa'})
frozenset({'Ixodes ricinus', 'tick-borne diseases'});frozenset({'Ixodes'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Ixodes ricinus', 'tick-borne diseases'});frozenset({'Ixodes'})
frozenset({'Adansonia grandidieri', 'plant morphology'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia grandidieri', 'plant morphology'});frozenset({'Adansonia rubrostipa'})
frozenset({'age determination', 'plant anatomy'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'plant anatomy'});frozenset({'Adansonia rubrostipa'})
frozenset({'plant anatomy', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'plant anatomy', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'})
frozenset({'tin', 'poultry'});frozenset({'organotin compounds'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'tin', 'poultry'});frozenset({'organotin compounds'})
frozenset({'Adansonia', 'plant anatomy'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia', 'plant anatomy'});frozenset({'Adansonia rubrostipa'})
frozenset({'agrifood systems', 'diversification'});frozenset({'production specialization'});0.8571428571428571;0.8571428454954745;0.0002855375243896635;False;no_clustering;frozenset({'agrifood systems', 'diversification'});frozenset({'production specialization'})
frozenset({'Adansonia digitata', 'wood'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'wood'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia digitata', 'plant anatomy'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'plant anatomy'});frozenset({'Adansonia rubrostipa'})
frozenset({'age determination', 'wood'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'wood'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia', 'plant morphology'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia', 'plant morphology'});frozenset({'Adansonia rubrostipa'})
frozenset({'Elaeis guineensis', 'sex differentiation'});frozenset({'female infertility'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Elaeis guineensis', 'sex differentiation'});frozenset({'female infertility'})
frozenset({'Rwanda', 'prairies'});frozenset({'high forest systems'});1.0;0.8571428454954745;0.0002855375243896635;False;no_clustering;frozenset({'Rwanda', 'prairies'});frozenset({'high forest systems'})
frozenset({'Adansonia', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'})
frozenset({'Rwanda', 'reforestation'});frozenset({'high forest systems'});1.0;0.8571428454954745;0.0002855375243896635;False;no_clustering;frozenset({'Rwanda', 'reforestation'});frozenset({'high forest systems'})
frozenset({'Adansonia digitata', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'})
frozenset({'prairies', 'reforestation'});frozenset({'high forest systems'});1.0;0.8571428454954745;0.0002855375243896635;False;no_clustering;frozenset({'prairies', 'reforestation'});frozenset({'high forest systems'})
frozenset({'wood', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'})
frozenset({'age determination', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'})
frozenset({'seed production', 'sex differentiation'});frozenset({'female infertility'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'seed production', 'sex differentiation'});frozenset({'female infertility'})
frozenset({'plant anatomy', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;frozenset({'plant anatomy', 'radiocarbon dating'});frozenset({'Adansonia rubrostipa'})
frozenset({'tick-borne diseases', 'Ixodes'});frozenset({'Ixodes ricinus'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;frozenset({'tick-borne diseases', 'Ixodes'});frozenset({'Ixodes ricinus'})
frozenset({'Babesia bigemina', 'piroplasmosis'});frozenset({'Babesia argentina'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;frozenset({'Babesia bigemina', 'piroplasmosis'});frozenset({'Babesia argentina'})
frozenset({'Adansonia za'});frozenset({'radiocarbon dating'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;True;no_clustering;frozenset({'Adansonia za'});frozenset({'radiocarbon dating'})
frozenset({'palm oils', 'technological changes'});frozenset({'shredding'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;frozenset({'palm oils', 'technological changes'});frozenset({'shredding'})
frozenset({'radiocarbon dating'});frozenset({'Adansonia za'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;True;no_clustering;frozenset({'radiocarbon dating'});frozenset({'Adansonia za'})
frozenset({'processing', 'new products'});frozenset({'shredding'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;frozenset({'processing', 'new products'});frozenset({'shredding'})
frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'Adansonia za'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'Adansonia za'})
frozenset({'Adansonia rubrostipa', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia rubrostipa', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'})
frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'})
frozenset({'stress', 'animal physiology'});frozenset({'haemolysis'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;frozenset({'stress', 'animal physiology'});frozenset({'haemolysis'})
frozenset({'Commelina', 'vegetative propagation'});frozenset({'Commelinaceae'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;frozenset({'Commelina', 'vegetative propagation'});frozenset({'Commelinaceae'})
frozenset({'Tenebrionidae'});frozenset({'Staphylinidae'});0.875;0.8749999861282909;0.0003331271117879408;True;no_clustering;frozenset({'Tenebrionidae'});frozenset({'Staphylinidae'})
frozenset({'Staphylinidae'});frozenset({'Tenebrionidae'});1.0;0.8749999861282909;0.0003331271117879408;True;no_clustering;frozenset({'Staphylinidae'});frozenset({'Tenebrionidae'})
frozenset({'seed production', 'female infertility'});frozenset({'sex differentiation'});1.0;0.6249999929225973;0.00023794793699138627;False;no_clustering;frozenset({'seed production', 'female infertility'});frozenset({'sex differentiation'})
frozenset({'female infertility', 'hybrids'});frozenset({'sex differentiation'});1.0;0.6249999929225973;0.00023794793699138627;False;no_clustering;frozenset({'female infertility', 'hybrids'});frozenset({'sex differentiation'})
frozenset({'Elaeis guineensis', 'female infertility'});frozenset({'sex differentiation'});1.0;0.6249999929225973;0.00023794793699138627;False;no_clustering;frozenset({'Elaeis guineensis', 'female infertility'});frozenset({'sex differentiation'})
frozenset({'Rwanda', 'forests'});frozenset({'high forest systems'});0.8571428571428571;0.7346938675675494;0.0002855375243896635;False;no_clustering;frozenset({'Rwanda', 'forests'});frozenset({'high forest systems'})
frozenset({'milking', 'teats'});frozenset({'mammary glands'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'milking', 'teats'});frozenset({'mammary glands'})
frozenset({'Enterobacteriaceae', 'Bacteria'});frozenset({'Serratia'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'Enterobacteriaceae', 'Bacteria'});frozenset({'Serratia'})
frozenset({'French West Indies', 'Benin'});frozenset({'Odonata'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'French West Indies', 'Benin'});frozenset({'Odonata'})
frozenset({'milking', 'milking machines'});frozenset({'mammary glands'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'milking', 'milking machines'});frozenset({'mammary glands'})
frozenset({'technological changes', 'new products'});frozenset({'shredding'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'technological changes', 'new products'});frozenset({'shredding'})
frozenset({'hybrids', 'sex differentiation'});frozenset({'female infertility'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'hybrids', 'sex differentiation'});frozenset({'female infertility'})
frozenset({'radiocarbon dating'});frozenset({'Adansonia rubrostipa'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;True;no_clustering;frozenset({'radiocarbon dating'});frozenset({'Adansonia rubrostipa'})
frozenset({'milking machines', 'teats'});frozenset({'mammary glands'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'milking machines', 'teats'});frozenset({'mammary glands'})
frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'})
frozenset({'stress', 'dromedaries'});frozenset({'haemolysis'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'stress', 'dromedaries'});frozenset({'haemolysis'})
frozenset({'Adansonia rubrostipa'});frozenset({'radiocarbon dating'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;True;no_clustering;frozenset({'Adansonia rubrostipa'});frozenset({'radiocarbon dating'})
frozenset({'odour', 'essential oils'});frozenset({'carbonyl compounds'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;False;no_clustering;frozenset({'odour', 'essential oils'});frozenset({'carbonyl compounds'})
frozenset({'Ixodes'});frozenset({'Ixodes ricinus'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;True;no_clustering;frozenset({'Ixodes'});frozenset({'Ixodes ricinus'})
frozenset({'Ixodes ricinus'});frozenset({'Ixodes'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;True;no_clustering;frozenset({'Ixodes ricinus'});frozenset({'Ixodes'})
frozenset({'radiocarbon dating'});frozenset({'Adansonia grandidieri'});1.0;0.6666666576075913;0.0002855375243896635;False;no_clustering;frozenset({'radiocarbon dating'});frozenset({'Adansonia grandidieri'})
frozenset({'plant anatomy', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'plant anatomy', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'})
frozenset({'wood', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'})
frozenset({'animal performance', 'teats'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'animal performance', 'teats'});frozenset({'milking machines'})
frozenset({'age determination', 'plant anatomy'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'plant anatomy'});frozenset({'Adansonia grandidieri'})
