antecedents;consequents;confidence;interestingness;support;isSymmetric;cluster;lang;graph;source;target
frozenset({'Rwanda', 'reforestation'});frozenset({'high forest systems'});1.0;0.8571428454954745;0.0002855375243896635;False;no_clustering;en;agrovoc;frozenset({'Rwanda', 'reforestation'});frozenset({'high forest systems'})
frozenset({'prairies', 'reforestation'});frozenset({'high forest systems'});1.0;0.8571428454954745;0.0002855375243896635;False;no_clustering;en;agrovoc;frozenset({'prairies', 'reforestation'});frozenset({'high forest systems'})
frozenset({'Rwanda', 'prairies'});frozenset({'high forest systems'});1.0;0.8571428454954745;0.0002855375243896635;False;no_clustering;en;agrovoc;frozenset({'Rwanda', 'prairies'});frozenset({'high forest systems'})
frozenset({'plant anatomy', 'Adansonia'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant anatomy', 'Adansonia'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia digitata', 'age determination'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia digitata', 'age determination'});frozenset({'Adansonia rubrostipa'})
frozenset({'plant morphology', 'Adansonia'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant morphology', 'Adansonia'});frozenset({'Adansonia rubrostipa'})
frozenset({'diversification', 'agrifood systems'});frozenset({'production specialization'});0.8571428571428571;0.8571428454954745;0.0002855375243896635;False;no_clustering;en;agrovoc;frozenset({'diversification', 'agrifood systems'});frozenset({'production specialization'})
frozenset({'Adansonia rubrostipa'});frozenset({'Adansonia za'});0.8571428571428571;0.8571428454954745;0.0002855375243896635;True;no_clustering;en;agrovoc;frozenset({'Adansonia rubrostipa'});frozenset({'Adansonia za'})
frozenset({'Adansonia grandidieri', 'age determination'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia grandidieri', 'age determination'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia', 'age determination'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia', 'age determination'});frozenset({'Adansonia rubrostipa'})
frozenset({'plant anatomy', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant anatomy', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia za'});frozenset({'Adansonia rubrostipa'});1.0;0.8571428454954745;0.0002855375243896635;True;no_clustering;en;agrovoc;frozenset({'Adansonia za'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia', 'wood'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia', 'wood'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia digitata', 'wood'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia digitata', 'wood'});frozenset({'Adansonia rubrostipa'})
frozenset({'plant morphology', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant morphology', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia grandidieri', 'wood'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia grandidieri', 'wood'});frozenset({'Adansonia rubrostipa'})
frozenset({'age determination', 'wood'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'age determination', 'wood'});frozenset({'Adansonia rubrostipa'})
frozenset({'plant anatomy', 'age determination'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant anatomy', 'age determination'});frozenset({'Adansonia rubrostipa'})
frozenset({'plant anatomy', 'Adansonia digitata'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant anatomy', 'Adansonia digitata'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'Adansonia za'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'Adansonia za'})
frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'})
frozenset({'animal physiology', 'stress'});frozenset({'haemolysis'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'animal physiology', 'stress'});frozenset({'haemolysis'})
frozenset({'new products', 'processing'});frozenset({'shredding'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'new products', 'processing'});frozenset({'shredding'})
frozenset({'palm oils', 'technological changes'});frozenset({'shredding'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'palm oils', 'technological changes'});frozenset({'shredding'})
frozenset({'piroplasmosis', 'Babesia bigemina'});frozenset({'Babesia argentina'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'piroplasmosis', 'Babesia bigemina'});frozenset({'Babesia argentina'})
frozenset({'Adansonia za'});frozenset({'radiocarbon dating'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;True;no_clustering;en;agrovoc;frozenset({'Adansonia za'});frozenset({'radiocarbon dating'})
frozenset({'radiocarbon dating'});frozenset({'Adansonia za'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;True;no_clustering;en;agrovoc;frozenset({'radiocarbon dating'});frozenset({'Adansonia za'})
frozenset({'tick-borne diseases', 'Ixodes'});frozenset({'Ixodes ricinus'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'tick-borne diseases', 'Ixodes'});frozenset({'Ixodes ricinus'})
frozenset({'Commelina', 'vegetative propagation'});frozenset({'Commelinaceae'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Commelina', 'vegetative propagation'});frozenset({'Commelinaceae'})
frozenset({'Adansonia rubrostipa', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'});0.8333333333333334;0.6944444365806638;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia rubrostipa', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'})
frozenset({'female infertility', 'hybrids'});frozenset({'sex differentiation'});1.0;0.6249999929225973;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'female infertility', 'hybrids'});frozenset({'sex differentiation'})
frozenset({'seed production', 'female infertility'});frozenset({'sex differentiation'});1.0;0.6249999929225973;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'seed production', 'female infertility'});frozenset({'sex differentiation'})
frozenset({'Staphylinidae'});frozenset({'Tenebrionidae'});1.0;0.8749999861282909;0.0003331271117879408;True;no_clustering;en;agrovoc;frozenset({'Staphylinidae'});frozenset({'Tenebrionidae'})
frozenset({'Tenebrionidae'});frozenset({'Staphylinidae'});0.875;0.8749999861282909;0.0003331271117879408;True;no_clustering;en;agrovoc;frozenset({'Tenebrionidae'});frozenset({'Staphylinidae'})
frozenset({'Elaeis guineensis', 'female infertility'});frozenset({'sex differentiation'});1.0;0.6249999929225973;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Elaeis guineensis', 'female infertility'});frozenset({'sex differentiation'})
frozenset({'Rwanda', 'forests'});frozenset({'high forest systems'});0.8571428571428571;0.7346938675675494;0.0002855375243896635;False;no_clustering;en;agrovoc;frozenset({'Rwanda', 'forests'});frozenset({'high forest systems'})
frozenset({'Ixodes ricinus'});frozenset({'Ixodes'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;True;no_clustering;en;agrovoc;frozenset({'Ixodes ricinus'});frozenset({'Ixodes'})
frozenset({'teats', 'milking'});frozenset({'mammary glands'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'teats', 'milking'});frozenset({'mammary glands'})
frozenset({'new products', 'technological changes'});frozenset({'shredding'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'new products', 'technological changes'});frozenset({'shredding'})
frozenset({'Ixodes'});frozenset({'Ixodes ricinus'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;True;no_clustering;en;agrovoc;frozenset({'Ixodes'});frozenset({'Ixodes ricinus'})
frozenset({'French West Indies', 'Benin'});frozenset({'Odonata'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'French West Indies', 'Benin'});frozenset({'Odonata'})
frozenset({'odour', 'essential oils'});frozenset({'carbonyl compounds'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'odour', 'essential oils'});frozenset({'carbonyl compounds'})
frozenset({'hybrids', 'sex differentiation'});frozenset({'female infertility'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'hybrids', 'sex differentiation'});frozenset({'female infertility'})
frozenset({'radiocarbon dating'});frozenset({'Adansonia rubrostipa'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;True;no_clustering;en;agrovoc;frozenset({'radiocarbon dating'});frozenset({'Adansonia rubrostipa'})
frozenset({'Adansonia rubrostipa'});frozenset({'radiocarbon dating'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;True;no_clustering;en;agrovoc;frozenset({'Adansonia rubrostipa'});frozenset({'radiocarbon dating'})
frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia digitata', 'Adansonia grandidieri'});frozenset({'Adansonia rubrostipa'})
frozenset({'milking machines', 'milking'});frozenset({'mammary glands'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'milking machines', 'milking'});frozenset({'mammary glands'})
frozenset({'Bacteria', 'Enterobacteriaceae'});frozenset({'Serratia'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Bacteria', 'Enterobacteriaceae'});frozenset({'Serratia'})
frozenset({'dromedaries', 'stress'});frozenset({'haemolysis'});0.7142857142857143;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'dromedaries', 'stress'});frozenset({'haemolysis'})
frozenset({'teats', 'milking machines'});frozenset({'mammary glands'});0.8333333333333334;0.5952380884977118;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'teats', 'milking machines'});frozenset({'mammary glands'})
frozenset({'mammary glands', 'milking'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'mammary glands', 'milking'});frozenset({'milking machines'})
frozenset({'mammary glands', 'Saudi Arabia'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'mammary glands', 'Saudi Arabia'});frozenset({'milking machines'})
frozenset({'Adansonia rubrostipa', 'Adansonia digitata'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia rubrostipa', 'Adansonia digitata'});frozenset({'Adansonia grandidieri'})
frozenset({'plant anatomy', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant anatomy', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'})
frozenset({'teats', 'animal performance'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'teats', 'animal performance'});frozenset({'milking machines'})
frozenset({'teats', 'mammary glands'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'teats', 'mammary glands'});frozenset({'milking machines'})
frozenset({'mammary glands', 'camel milk'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'mammary glands', 'camel milk'});frozenset({'milking machines'})
frozenset({'mammary glands', 'camels'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'mammary glands', 'camels'});frozenset({'milking machines'})
frozenset({'teats', 'milking'});frozenset({'milking machines'});1.0;0.6666666576075913;0.0002855375243896635;False;no_clustering;en;agrovoc;frozenset({'teats', 'milking'});frozenset({'milking machines'})
frozenset({'plant morphology', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant morphology', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'})
frozenset({'animal performance', 'milking'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'animal performance', 'milking'});frozenset({'milking machines'})
frozenset({'Adansonia rubrostipa', 'age determination'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia rubrostipa', 'age determination'});frozenset({'Adansonia grandidieri'})
frozenset({'plant morphology', 'Adansonia'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant morphology', 'Adansonia'});frozenset({'Adansonia grandidieri'})
frozenset({'plant anatomy', 'age determination'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant anatomy', 'age determination'});frozenset({'Adansonia grandidieri'})
frozenset({'Adansonia', 'age determination'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia', 'age determination'});frozenset({'Adansonia grandidieri'})
frozenset({'Adansonia digitata', 'age determination'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia digitata', 'age determination'});frozenset({'Adansonia grandidieri'})
